"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",-1,
02016,"""Aleutians West, (AK)""",-1,
02020,"""Anchorage, (AK)""",11.8,"11.0 - 12.3 (644)"
02050,"""Bethel, (AK)""",13.9,"13.8 - 21.7 (627)"
02060,"""Bristol Bay, (AK)""",-1,
02068,"""Denali, (AK)""",-1,
02070,"""Dillingham, (AK)""",13.5,"12.4 - 13.7 (634)"
02090,"""Fairbanks North Star, (AK)""",9.8,"9.1 - 10.9 (649)"
02100,"""Haines, (AK)""",10.2,"9.1 - 10.9 (649)"
02105,"""Hoonah-Angoon, (AK)""",-1,
02110,"""Juneau, (AK)""",8.7,"0.2 - 9.0 (647)"
02122,"""Kenai Peninsula, (AK)""",0.2,"0.2 - 9.0 (647)"
02130,"""Ketchikan Gateway, (AK)""",5.9,"0.2 - 9.0 (647)"
02150,"""Kodiak Island, (AK)""",-1,
02164,"""Lake and Peninsula, (AK)""",-1,
02170,"""Matanuska-Susitna, (AK)""",12.5,"12.4 - 13.7 (634)"
02180,"""Nome, (AK)""",11.8,"11.0 - 12.3 (644)"
02185,"""North Slope, (AK)""",-1,
02188,"""Northwest Arctic, (AK)""",1,"0.2 - 9.0 (647)"
02195,"""Petersburg, (AK)""",-1,
02198,"""Prince of Wales-Hyder, (AK)""",-1,
02220,"""Sitka, (AK)""",7.7,"0.2 - 9.0 (647)"
02230,"""Skagway, (AK)""",-1,
02240,"""Southeast Fairbanks, (AK)""",8.1,"0.2 - 9.0 (647)"
02261,"""Valdez-Cordova, (AK)""",0.9,"0.2 - 9.0 (647)"
02158,"""Kusilvak, (AK)""",-1,
02275,"""Wrangell, (AK)""",-1,
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",6.1,"0.2 - 9.0 (647)"
06001,"""Alameda, (CA)""",10.9,"9.1 - 10.9 (649)"
06005,"""Amador, (CA)""",11.3,"11.0 - 12.3 (644)"
06007,"""Butte, (CA)""",13.2,"12.4 - 13.7 (634)"
06009,"""Calaveras, (CA)""",8.3,"0.2 - 9.0 (647)"
06011,"""Colusa, (CA)""",10.1,"9.1 - 10.9 (649)"
06013,"""Contra Costa, (CA)""",10.4,"9.1 - 10.9 (649)"
06015,"""Del Norte, (CA)""",11,"11.0 - 12.3 (644)"
06017,"""El Dorado, (CA)""",9.5,"9.1 - 10.9 (649)"
06021,"""Glenn, (CA)""",13.9,"13.8 - 21.7 (627)"
06023,"""Humboldt, (CA)""",10.3,"9.1 - 10.9 (649)"
06031,"""Kings, (CA)""",12.1,"11.0 - 12.3 (644)"
06033,"""Lake, (CA)""",10.3,"9.1 - 10.9 (649)"
06035,"""Lassen, (CA)""",9.5,"9.1 - 10.9 (649)"
06041,"""Marin, (CA)""",8.7,"0.2 - 9.0 (647)"
06043,"""Mariposa, (CA)""",10.8,"9.1 - 10.9 (649)"
06045,"""Mendocino, (CA)""",9.1,"9.1 - 10.9 (649)"
06047,"""Merced, (CA)""",10.2,"9.1 - 10.9 (649)"
06049,"""Modoc, (CA)""",9.2,"9.1 - 10.9 (649)"
06053,"""Monterey, (CA)""",11,"11.0 - 12.3 (644)"
06055,"""Napa, (CA)""",9.2,"9.1 - 10.9 (649)"
06057,"""Nevada, (CA)""",9.6,"9.1 - 10.9 (649)"
06061,"""Placer, (CA)""",9.6,"9.1 - 10.9 (649)"
06063,"""Plumas, (CA)""",10.2,"9.1 - 10.9 (649)"
06067,"""Sacramento, (CA)""",10.7,"9.1 - 10.9 (649)"
06069,"""San Benito, (CA)""",11.3,"11.0 - 12.3 (644)"
06075,"""San Francisco, (CA)""",10.2,"9.1 - 10.9 (649)"
06077,"""San Joaquin, (CA)""",10.7,"9.1 - 10.9 (649)"
06079,"""San Luis Obispo, (CA)""",10.2,"9.1 - 10.9 (649)"
06081,"""San Mateo, (CA)""",8.2,"0.2 - 9.0 (647)"
06083,"""Santa Barbara, (CA)""",10.2,"9.1 - 10.9 (649)"
06085,"""Santa Clara, (CA)""",8.9,"0.2 - 9.0 (647)"
06087,"""Santa Cruz, (CA)""",10.4,"9.1 - 10.9 (649)"
06089,"""Shasta, (CA)""",11.3,"11.0 - 12.3 (644)"
06091,"""Sierra, (CA)""",9.5,"9.1 - 10.9 (649)"
06093,"""Siskiyou, (CA)""",6.5,"0.2 - 9.0 (647)"
06095,"""Solano, (CA)""",9.3,"9.1 - 10.9 (649)"
06097,"""Sonoma, (CA)""",8.8,"0.2 - 9.0 (647)"
06099,"""Stanislaus, (CA)""",11.8,"11.0 - 12.3 (644)"
06101,"""Sutter, (CA)""",11.3,"11.0 - 12.3 (644)"
06103,"""Tehama, (CA)""",11.7,"11.0 - 12.3 (644)"
06105,"""Trinity, (CA)""",10.6,"9.1 - 10.9 (649)"
06109,"""Tuolumne, (CA)""",9.9,"9.1 - 10.9 (649)"
06113,"""Yolo, (CA)""",9.8,"9.1 - 10.9 (649)"
06115,"""Yuba, (CA)""",12,"11.0 - 12.3 (644)"
15001,"""Hawaii, (HI)""",7.7,"0.2 - 9.0 (647)"
15003,"""Honolulu, (HI)""",7.7,"0.2 - 9.0 (647)"
15005,"""Kalawao, (HI)""",-1,
15007,"""Kauai, (HI)""",7.5,"0.2 - 9.0 (647)"
15009,"""Maui, (HI)""",7.4,"0.2 - 9.0 (647)"
41003,"""Benton, (OR)""",9.3,"9.1 - 10.9 (649)"
41005,"""Clackamas, (OR)""",9.2,"9.1 - 10.9 (649)"
41007,"""Clatsop, (OR)""",6.8,"0.2 - 9.0 (647)"
41009,"""Columbia, (OR)""",10.8,"9.1 - 10.9 (649)"
41011,"""Coos, (OR)""",11.6,"11.0 - 12.3 (644)"
41013,"""Crook, (OR)""",9.3,"9.1 - 10.9 (649)"
41015,"""Curry, (OR)""",8.8,"0.2 - 9.0 (647)"
41017,"""Deschutes, (OR)""",10.4,"9.1 - 10.9 (649)"
41019,"""Douglas, (OR)""",8.3,"0.2 - 9.0 (647)"
41021,"""Gilliam, (OR)""",7.1,"0.2 - 9.0 (647)"
41027,"""Hood River, (OR)""",8.7,"0.2 - 9.0 (647)"
41029,"""Jackson, (OR)""",10.4,"9.1 - 10.9 (649)"
41031,"""Jefferson, (OR)""",10.4,"9.1 - 10.9 (649)"
41033,"""Josephine, (OR)""",8.5,"0.2 - 9.0 (647)"
41035,"""Klamath, (OR)""",9.4,"9.1 - 10.9 (649)"
41037,"""Lake, (OR)""",9.9,"9.1 - 10.9 (649)"
41039,"""Lane, (OR)""",10.6,"9.1 - 10.9 (649)"
41041,"""Lincoln, (OR)""",6.4,"0.2 - 9.0 (647)"
41043,"""Linn, (OR)""",10.3,"9.1 - 10.9 (649)"
41047,"""Marion, (OR)""",11.3,"11.0 - 12.3 (644)"
41051,"""Multnomah, (OR)""",9.7,"9.1 - 10.9 (649)"
41053,"""Polk, (OR)""",11.4,"11.0 - 12.3 (644)"
41055,"""Sherman, (OR)""",11.6,"11.0 - 12.3 (644)"
41057,"""Tillamook, (OR)""",7.3,"0.2 - 9.0 (647)"
41065,"""Wasco, (OR)""",9.3,"9.1 - 10.9 (649)"
41067,"""Washington, (OR)""",9.9,"9.1 - 10.9 (649)"
41069,"""Wheeler, (OR)""",10,"9.1 - 10.9 (649)"
41071,"""Yamhill, (OR)""",9.7,"9.1 - 10.9 (649)"
53007,"""Chelan, (WA)""",10.3,"9.1 - 10.9 (649)"
53009,"""Clallam, (WA)""",11.9,"11.0 - 12.3 (644)"
53011,"""Clark, (WA)""",11,"11.0 - 12.3 (644)"
53015,"""Cowlitz, (WA)""",12.1,"11.0 - 12.3 (644)"
53027,"""Grays Harbor, (WA)""",11.2,"11.0 - 12.3 (644)"
53029,"""Island, (WA)""",8.8,"0.2 - 9.0 (647)"
53031,"""Jefferson, (WA)""",6.8,"0.2 - 9.0 (647)"
53033,"""King, (WA)""",11,"11.0 - 12.3 (644)"
53035,"""Kitsap, (WA)""",10,"9.1 - 10.9 (649)"
53037,"""Kittitas, (WA)""",9.7,"9.1 - 10.9 (649)"
53039,"""Klickitat, (WA)""",8.7,"0.2 - 9.0 (647)"
53041,"""Lewis, (WA)""",11.7,"11.0 - 12.3 (644)"
53045,"""Mason, (WA)""",8.6,"0.2 - 9.0 (647)"
53047,"""Okanogan, (WA)""",7.4,"0.2 - 9.0 (647)"
53049,"""Pacific, (WA)""",8.6,"0.2 - 9.0 (647)"
53053,"""Pierce, (WA)""",11.2,"11.0 - 12.3 (644)"
53055,"""San Juan, (WA)""",9.7,"9.1 - 10.9 (649)"
53057,"""Skagit, (WA)""",10.6,"9.1 - 10.9 (649)"
53059,"""Skamania, (WA)""",10.2,"9.1 - 10.9 (649)"
53061,"""Snohomish, (WA)""",12.2,"11.0 - 12.3 (644)"
53067,"""Thurston, (WA)""",10.5,"9.1 - 10.9 (649)"
53069,"""Wahkiakum, (WA)""",14.2,"13.8 - 21.7 (627)"
53073,"""Whatcom, (WA)""",10.9,"9.1 - 10.9 (649)"
53077,"""Yakima, (WA)""",12.1,"11.0 - 12.3 (644)"
04001,"""Apache, (AZ)""",9.9,"9.1 - 10.9 (649)"
04003,"""Cochise, (AZ)""",9.2,"9.1 - 10.9 (649)"
04005,"""Coconino, (AZ)""",8.6,"0.2 - 9.0 (647)"
04007,"""Gila, (AZ)""",11,"11.0 - 12.3 (644)"
04009,"""Graham, (AZ)""",9.5,"9.1 - 10.9 (649)"
04011,"""Greenlee, (AZ)""",9,"0.2 - 9.0 (647)"
